加油站地址,Lat,Long
新北市五股區中興路四段21號,25.082542, 121.439
新北市五股區成泰路一段76號,25.0704482, 121.4357918
新北市五股區新五路二段129號,25.0777199, 121.4375158
新北市五股區中興路二段1號,24.9790064, 121.4398706
新北市五股區新五路二段126號,25.0767567, 121.4379668
新北市八里區龍米路二段72-1號,25.1413455, 121.4481093
新北市八里區中山路一段1號,24.9790064, 121.4398706
新北市八里區中華路二段341號,25.1449598, 121.3994753
新北市八里區龍米路一段50號,25.1191521, 121.4567074
新北市八里區龍米路一段51號,25.1194441, 121.4562104
新北市八里區中華路二段39號,25.0690733, 121.6548017
新北市淡水區民權路41號,25.1404023, 121.4601467
新北市淡水區淡金路一段69號,25.1735178, 121.4578034
新北市淡水區淡金路132號,25.1646446, 121.4580692
新北市淡水區民權路86號,25.1335615, 121.4588693
新北市淡水區淡金路三段446號,25.2142409, 121.4507561
新北市淡水區埤島里二鄰淡金路二段599號,25.1920755, 121.4463357
新北市三芝區北海路二段168號,25.261129, 121.5026759
新北市三芝區北海路二段167號,25.2616914, 121.5027135
新北市石門區中央路1-15號,25.2915676, 121.5655949
