Address,lon,lat
新北市泰山區泰林路二段498號,121.424546,25.064015
新北市新店區安康路二段136號,121.512536,24.962154
新北市五股區成泰路二段49巷15號,121.435723,25.083272
新北市新店區三民路31號,121.537932,24.970355
新北市蘆洲區中正路265號,121.466382,25.087088
新北市新店區北宜路二段56巷3弄2號,121.54901,24.950737
新北市林口區湖南里32鄰民治路25號,121.376896,25.076858
新北市新店區安康路三段355巷40號,121.484914,24.949148
新北市汐止區大同路二段394號,121.65839,25.066949
新北市淡水區真理街10號,121.436724,25.174719
新北市新店區中正路128巷7弄2號,121.542289,24.971726
新北市三芝區淡金路一段38號,121.501856,25.259371
新北市新店區中正路360號1樓,121.535571,24.975888
新北市石門區中央路1-9號,121.564533,25.291219
新北市新店區中央一街20號,121.528323,24.973065
新北市萬里區獅頭路24號,121.6949622,25.1773327
新北市新店區達觀路6號,121.505176,24.942553
新北市新店區中正路128巷9弄1號,121.542345,24.971812
新店區民族路53號,121.540163,24.978496
新北市新店區中興路一段203號,121.543496,24.965595
新北市新店區建安街35號,121.538888,24.975511
新北市新店區玫瑰路58巷33號,121.49383,24.946732
新北市新店區二十張路111號,121.536281,24.97969
新北市新店區花園一路一段3號,121.551514,24.932755
新北市樹林區地政街17號,121.394274,24.971869
新北市樹林區保安街一段345號,121.416792,24.999182
新北市樹林區中華路12巷11號,121.4201988,24.98355749
新北市樹林區俊英街238-6號,121.426079,25.011064
新北市樹林區八德街118號,121.421195,24.979433
新北市樹林區大安路577號,121.41201,24.983474
新北市樹林區復興路198號,121.419876,24.990912
新北市樹林區三福街85巷2-1號,121.407167,25.016047
新北市樹林區文化街28號,121.41907,24.987915
新北市樹林區東陽街59號,121.413703,24.980656
新北市樹林區八德街154號,121.421507,24.978379
新北市鶯歌區二甲路25號,121.338753,24.94031
新北市鶯歌區文化路145巷10號,121.356757,24.953742
新北市三峽區中華路15巷5號,121.373676,24.931567
新北市三峽區中華路25號,121.373559,24.931446
新北市三峽區學勤路125號,121.375579,24.946987
新北市三峽區介壽路一段276巷108弄38號,121.379095,24.927773
新北市土城區明德路一段72號,121.465311,24.982012
新北市三峽區民生街59號,121.375338,24.935974
新北市蘆洲區三民路96號,121.473007,25.086461
新北市中和區錦和路163號,121.491089,24.99254
新北市三峽區大同路222巷26之1號,121.366243,24.926708
新北市鶯歌區中正三路154號,121.335003,24.939285
新北市三峽區大學路89號,121.375829,24.941765
新北市新莊區中正路211號,121.452488,25.035938
淡水區商工路186巷17號,121.450558,25.187422
新北市板橋區實踐路76號1~3樓,121.463851,25.005503
新北市淡水區水源街一段124號2樓,121.44737,25.171741
新北市板橋區文化路一段270巷3弄9號,121.468165,25.020928
新北市淡水區八勢一街40號,121.461507,25.155177
新北市淡水區沙崙路131巷11號,121.422276,25.183143
新北市板橋區光明街68號,121.461472,25.002694
新北市板橋區建國街1號,121.456873,25.016915
新北市淡水區新興街31號,121.442365,25.179929
新北市板橋區四維路289巷38號,121.46123,25.028205
新北市淡水區北新路92號,121.447033,25.178284
新北市板橋區文化路二段182巷3弄9號,121.471573,25.027584
新北市淡水區新春街126巷9號,121.440476,25.181218
新北市坪林區國中路4號,121.712825,24.938006
新北市淡水區中正東路35巷11號,121.44645,25.168751
新北市新店區文中路38號,121.539151,24.956748
新北市淡水區自強路309之1號,121.462556,25.132019
新北市新店區中興路一段253號,121.543996,24.966374
新北市中和區民安街66號,121.478927,25.000128
新北市瑞芳區三爪子坑路1號,121.814521,25.107444
新北市淡水區大義街29巷13號2號樓、15號,121.442404,25.177928
新北市瑞芳區崙頂路3-1號,121.845827,25.105004
新北市淡水區新春街172號,121.443152,25.18098
新北市貢寮區龍崗里嵩陽街42號,121.907086,25.016403
新北市淡水區大忠街75號2樓,121.445663,25.177271
新北市深坑區文化街41號,121.618263,25.00174
新北市淡水區沙崙路151巷12弄9號,121.423488,25.184104
新北市平溪區靜安路二段295號,121.733621,25.023479
新北市烏來區啦卡路5號,121.554224,24.863038
新北市淡水區學府路113號號 2 樓,121.450169,25.172502
新北市板橋區大觀路三段50巷30號,121.431271,24.998417
新北市淡水區民權路181巷7號,121.460201,25.134567
新北市中和區莒光路191號,121.472635,24.998837
新北市土城區金城路2段247號,121.456841,24.983456
新北市汐止區建成路150號,121.662144,25.073369
新北市泰山區民生路33號,121.431329,25.051679
新北市汐止區新台五路一段82號2樓,121.64726,25.060303
新北市新莊區中平路385號,121.444531,25.053756
新北市汐止區康寧街433號,121.630944,25.068203
新北市鶯歌區永和街33號,121.331768,24.967072
新北市三重區三和路4段216號,121.486502,25.076578
新北市汐止區青山路8號,121.655728,25.06249
新北市鶯歌區國中街1號,121.34219,24.94366
新北市汐止區莊敬街130號2樓,121.654577,25.060974
新北市淡水區北新路109號,121.446853,25.178483
